,zpid,price,city,latitude,longitude,bathrooms,bedrooms,living_area,lot_area,lot_area_unit,days_on_zillow,lot_sqft
1671,51079352.0,2599888.0,San Diego,32.917274,-117.21541,3.0,4.0,2683.0,5227.2,sqft,25.737152777777776,5227.2
1672,17064112.0,3350000.0,San Diego,32.720577,-117.24494,4.0,4.0,3698.0,0.2763774104683195,acres,4.4971875,12038.999999999996
1673,16808949.0,1950000.0,San Diego,32.94402,-117.13083,3.0,4.0,2918.0,0.3299999999999999,acres,31.839780092592594,14374.799999999996
1674,16843140.0,1595000.0,San Diego,32.859234,-117.22823,3.0,3.0,1630.0,3920.4,sqft,14.620405092592593,3920.4
1675,16777642.0,2095000.0,San Diego,32.944256,-117.21935,3.0,3.0,2350.0,7405.2,sqft,0.7044097222222222,7405.2
1676,68546799.0,2488000.0,San Diego,33.027397,-117.11598,5.0,5.0,3729.0,6534.0,sqft,40.28428240740741,6534.0
1679,16855888.0,5495000.0,La Jolla,32.81246,-117.27008,5.0,4.0,2972.0,5227.2,sqft,277.48990740740743,5227.2
1681,16741430.0,1300000.0,San Diego,33.030983,-117.051704,2.0,2.0,1786.0,6200.0,sqft,120.65320601851852,6200.0
1682,16782395.0,0.0,San Diego,32.924313,-117.13955,2.0,4.0,1596.0,5662.8,sqft,292.81958333333336,5662.8
1683,17167059.0,739000.0,San Diego,32.581768,-117.04751,2.0,4.0,1175.0,0.12,sqft,12.4971875,0.12
1684,16998047.0,995000.0,San Diego,32.76679,-117.04803,2.0,5.0,1624.0,5223.0,sqft,22.4971875,5223.0
1685,16805208.0,1125000.0,San Diego,32.964134,-117.11609,3.0,5.0,1699.0,3812.0,sqft,0.8015509259259259,3812.0
1687,16851172.0,27895000.0,La Jolla,32.82666,-117.26478,13.0,8.0,14768.0,2.65,acres,134.51430555555555,115434.0
1688,16735283.0,1550000.0,San Diego,33.042107,-117.06819,2.0,4.0,1946.0,0.3007346189164371,acres,18.4971875,13100.0
1689,17203164.0,2300000.0,San Diego,33.01152,-117.10892,3.0,5.0,3390.0,7021.0,sqft,5.362962962962963,7021.0
1690,16797187.0,1549000.0,San Diego,32.99532,-117.06861,3.0,4.0,2265.0,5424.0,sqft,41.38292824074074,5424.0
1691,16924662.0,1799000.0,San Diego,32.79788,-117.23268,2.0,4.0,1360.0,4700.0,sqft,2.4971875,4700.0
1694,16798039.0,1499900.0,San Diego,32.96985,-117.08654,3.0,4.0,2423.0,5662.8,sqft,1.200787037037037,5662.8
1695,16819532.0,899999.0,San Diego,32.935703,-117.13021,3.0,3.0,1373.0,2510.0,sqft,61.4971875,2510.0
1696,16805597.0,1500000.0,San Diego,32.948345,-117.111786,2.0,4.0,1860.0,0.5,acres,35.4971875,21780.0
1698,16952752.0,1300000.0,San Diego,32.754814,-117.17297,2.0,2.0,1300.0,5300.0,sqft,1.2515625,5300.0
1701,16773879.0,1193950.0,San Diego,32.9528,-117.136665,3.0,3.0,1915.0,3438.0,sqft,48.4971875,3438.0
1702,140302635.0,1595000.0,San Diego,32.740463,-117.25277,4.0,2.0,1338.0,3571.0,sqft,17.673206018518517,3571.0
1703,16966931.0,1550000.0,San Diego,32.741486,-117.22339,1.0,3.0,1428.0,5227.2,sqft,6.4971875,5227.2
1705,16868695.0,899000.0,San Diego,32.815613,-117.0449,2.0,4.0,1789.0,6100.0,sqft,1.5302083333333334,6100.0
1706,16789940.0,1250000.0,San Diego,32.90914,-117.15777,3.0,4.0,2048.0,5040.0,sqft,84.4971875,5040.0
1707,17081793.0,869000.0,San Diego,32.71203,-117.08407,3.0,4.0,1389.0,7840.8,sqft,5.688449074074074,7840.8
1709,16769686.0,1885000.0,San Diego,32.958008,-117.24138,2.0,3.0,1708.0,5136.0,sqft,12.4971875,5136.0
1710,79571449.0,1979000.0,San Diego,33.01983,-117.14534,4.0,4.0,2861.0,5601.0,sqft,5.59599537037037,5601.0
1711,17087194.0,525000.0,San Diego,32.701862,-117.105354,2.0,2.0,472.0,1742.4,sqft,18.726493055555554,1742.4
1712,16849832.0,8195000.0,La Jolla,32.831238,-117.280495,4.0,4.0,2867.0,3920.4,sqft,137.4746064814815,3920.4
1713,16855080.0,2900000.0,La Jolla,32.81909,-117.27321,2.0,2.0,1556.0,8276.4,sqft,48.266851851851854,8276.4
1714,82234347.0,1850000.0,San Diego,32.960903,-117.19316,3.0,3.0,2007.0,5662.8,sqft,6.79375,5662.8
1715,16976291.0,875000.0,San Diego,32.738247,-117.11804,1.0,2.0,1092.0,3625.0,sqft,1.7842013888888888,3625.0
1716,51079777.0,2199000.0,San Diego,32.92813,-117.19391,3.0,5.0,2520.0,5797.0,sqft,4.75931712962963,5797.0
1718,16841866.0,15300000.0,La Jolla,32.86178,-117.24931,7.0,5.0,8216.0,0.3444903581267217,acres,197.65259259259258,15005.999999999996
1719,17112724.0,885000.0,San Diego,32.717434,-117.04352,3.0,4.0,2128.0,0.2799999999999999,acres,21.479988425925924,12196.799999999996
1722,16932341.0,1215000.0,San Diego,32.79305,-117.12702,2.0,4.0,1620.0,6534.0,sqft,12.562094907407408,6534.0
1727,16743400.0,949000.0,San Diego,33.013382,-117.05983,2.0,2.0,1510.0,7405.2,sqft,0.6643865740740741,7405.2
1728,16856626.0,7450000.0,La Jolla,32.820156,-117.255135,6.0,6.0,5569.0,0.2799999999999999,acres,88.41456018518518,12196.799999999996
1729,2117576094.0,2195000.0,San Diego,32.721348,-117.16899,5.0,4.0,1920.0,1626.0,sqft,5.370949074074074,1626.0
1730,16781373.0,959000.0,San Diego,32.925186,-117.15743,2.0,3.0,1006.0,5000.0,sqft,55.4971875,5000.0
1731,16848814.0,4495000.0,La Jolla,32.8451,-117.26319,4.0,4.0,2839.0,0.2623737373737373,acres,13.4971875,11428.999999999998
1732,16908101.0,2985000.0,La Jolla,32.806976,-117.261765,2.0,3.0,1598.0,6500.0,sqft,12.4971875,6500.0
1733,17135682.0,921000.0,San Diego,32.68811,-117.02736,3.0,4.0,1778.0,9525.0,sqft,19.4971875,9525.0
1734,17199408.0,1850000.0,San Diego,32.819546,-117.21434,2.0,3.0,1448.0,6900.0,sqft,11.751145833333334,6900.0
1735,16976028.0,855000.0,San Diego,32.741142,-117.12244,1.0,2.0,712.0,2507.0,sqft,5.534895833333334,2507.0
1738,16841827.0,3295000.0,La Jolla,32.849876,-117.237686,7.0,6.0,3508.0,0.9199954086317724,acres,6.863425925925926,40075.00000000001
1739,51079467.0,1599999.0,San Diego,32.924454,-117.2314,3.0,3.0,2372.0,1.1939,acres,98.4971875,52006.284
