,price,bed,bath,lot_sqft,lot_living,lat,long,income,poverty,unemployment,bachelor,rent,area_home_value,owner_occ,pop_density,risk_fire,risk_earthquake,risk_heat,dist_city,dist_airport,dist_coast
3856,2295000.0,4.0,3.0,13503.6,2904.0,34.091366,-118.808624,169410.0,0.0536664353458246,0.0670415224913494,0.5602001766264351,2768.0,1567700.0,0.8029782359679267,62.03169047031886,99.33644893154008,95.8712377962494,30.76052242718909,52.21528048135794,40.46394564475408,30.314790793060684
3858,7750000.0,3.0,4.0,480157.524,5350.0,34.09496,-118.860886,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,57.04430963393454,45.046643614342216,35.074891308995035
3859,2595000.0,4.0,4.0,7827.732,2866.0,34.061462,-118.74348,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,46.052793738470136,33.63304462279924,23.708979643208643
3860,4250000.0,3.0,3.0,47706.912,2577.0,34.028023,-118.81704,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,52.89660900481592,38.87442025502217,30.04406109494055
3861,9749000.0,2.0,2.0,55495.44,2131.0,34.041897,-118.62242,225729.0,0.04586541680616,0.017094017094017,0.726827276439363,3501.0,2000001.0,0.7870370370370371,112.7358186492445,99.63017135790138,93.02438966382458,12.629295962629298,34.911698784043786,22.65701221451688,12.345923839795828
3862,7500000.0,4.0,5.0,8158.788,3389.0,34.03227,-118.725685,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,44.46485306466676,30.93328149542669,21.655984956566584
3863,3749000.0,4.0,4.0,20651.795999999995,3016.0,34.02853,-118.83209,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,54.2786596285295,40.23383824948341,31.432050609176716
3864,3750000.0,3.0,3.0,12510.432,2339.0,34.036774,-118.71367,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,43.33535672559967,30.060122082317275,20.591356807179984
3865,4950000.0,4.0,5.0,13956.624000000002,4455.0,34.025192,-118.80618,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,51.91539785569026,37.82701061181545,29.0356465222226
3867,9995000.0,3.0,3.0,6242.148,3323.0,34.025642,-118.76306,192500.0,0.1581381902283897,0.122463768115942,0.6194931773879142,2217.0,2000001.0,0.8410364145658263,482.48731413954175,95.12682387356854,95.13158051205212,8.247533247533248,47.94618018044691,34.00080627324251,25.06402483040756
3868,5999000.0,4.0,3.0,7840.8,2345.0,34.06103,-118.98098,209750.0,0.0708549834671705,0.0405244338498212,0.6539624924379915,2380.0,2000001.0,0.8299155609167672,14.782009145545969,99.34596220850725,90.73882487246264,9.254492587825922,67.92769974158935,54.41837513420747,45.36451737113544
3870,12995000.0,4.0,4.0,8167.5,3305.0,34.031498,-118.72006,189028.0,0.0587288817377312,0.1027397260273972,0.8234750462107209,3501.0,1653200.0,0.7344632768361582,102.90376625896366,97.78459562627091,92.57131984826324,14.950664950664953,43.9518359262953,30.41525372255436,21.133249138722864
3873,4095000.0,4.0,4.0,46252.008,3232.0,34.05062,-118.777534,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,49.181888114195175,36.11614081046761,26.610711702402057
3876,3500000.0,2.0,3.0,1306.0,1865.0,34.048515,-118.95404,209750.0,0.0708549834671705,0.0405244338498212,0.6539624924379915,2380.0,2000001.0,0.8299155609167672,14.782009145545969,99.34596220850725,90.73882487246264,9.254492587825922,65.44492752420719,51.67940204156755,42.7715891206009
3877,7980000.0,3.0,4.0,7710.12,4178.0,34.03515,-118.82631,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,53.713610156127736,39.90082411345699,30.931117951184422
3878,6995000.0,4.0,5.0,8128.296,4195.0,34.03582,-118.862015,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,56.99877877162737,43.10532460533254,34.22053997933543
3880,3298000.0,4.0,4.0,12885.048,4437.0,34.02321,-118.8025,198594.0,0.0631536604987932,0.0541516245487364,0.7425641025641025,3501.0,2000001.0,0.7871657754010695,275.04883333821994,97.97723948485604,90.68174521065964,5.238571905238572,51.590786757660986,37.44459076170095,28.692897446386528
3881,8495000.0,6.0,9.0,195370.956,11500.0,34.037777,-118.86529,239063.0,0.0783483324510322,0.0713513513513513,0.6460361613351877,3501.0,2000001.0,0.8657534246575342,22.18253329520752,99.21634380982958,90.5449918542566,5.924972591639258,57.29320849398336,43.45085294126164,34.53365150478029
3882,3495000.0,4.0,4.0,7405.0,2233.0,34.05051,-118.95703,209750.0,0.0708549834671705,0.0405244338498212,0.6539624924379915,2380.0,2000001.0,0.8299155609167672,14.782009145545969,99.34596220850725,90.73882487246264,9.254492587825922,65.71860791871876,51.9983338234545,43.06302230106832
